console	name	desc	is_brand_missing	compatible_game_families	model_no	storage	alt names	description	notes	relevance
3ds	3DS	original	y	3ds, ds, dsi					the original 3DS	10
3ds	3DS XL	xl	y	3ds, ds, dsi					larger form factor 3DS	9
3ds	2DS	2ds	y	3ds, ds, dsi					3DS game compatibility, no 3D functionality	9
ds	DS	original	y	ds, gba					the original DS	10
ds	DS Lite	lite	y	ds, gba					lighter, brighter, smaller form factor DS	9
dsi	DSi	original	y	dsi, ds					camera-enabled DS, no GBA slot	10
dsi	DSi XL	xl	y	dsi, ds					larger form factor DSi	9
gamecube	Panasonic Q	pq	n	gamecube					combination GameCube & DVD player	4
gamecube	TDEV	tdev	n	gamecube					developers' GameCube console	1
gamecube	GameCube	original	y	gamecube	DOL-001	n/a			the original GameCube	10
gamecube	GameCube	101	y	gamecube	DOL-101	n/a			no Digital AV Out port	9
gb	Game Boy	original	y	gb					the original Game Boy	10
gb	Game Boy Pocket	pocket	y	gb					a smaller form factor Game Boy	9
gb	Game Boy Light	light	y	gb					lighted screen	8
gba	Game Boy Advance	original	y	gb, gbc, gba			GBA		the original Game Boy Advance	10
gba	Game Boy Advance SP	sp	y	gb, gbc, gba			SP, GBA SP		a rechargable, backlit, foldable Game Boy Advance	10
gba	Game Boy Micro	micro	y	gba					a rechargable, backlit, pocket-sized Game Boy Advance	6
gbc	Game Boy Color	original	y	gb, gbc			GBC		the original Game Boy Color	10
genesis	Genesis	original	y	genesis					the original Genesis	10
genesis	Genesis	2	y	genesis	MK-1601				second iteration of the Genesis, different power supply	9
genesis	Genesis	3	y	genesis	MK-1631				smallest form factor Genesis, not compatible with 32X	8
gamegear	Game Gear	original	y	gamegear					the original Game Gear	10
gamegear	Game Gear	repro	y	gamegear					Majesco reproduction	7
mastersys	Master System	original	y	mastersys, segacard					the original Master System	10
mastersys	Master System II	2	y	mastersys					compact cost reduction model	9
n64	Nintendo 64	original	n	n64					the original Nintendo 64	10
nes	Nintendo Entertainment System	original	n	nes	NES-001				the original NES	10
nes	Nintendo Entertainment System	101	n	nes	NES-101				smaller form factor, top-loading NES variant	9
nes	Family Computer	famicom	y	fc					the original Famicom	8
nes	Family Computer	fc101	y	fc					simple redesign of Famicom	7
