name	tag	description
Famicom	fc	
Famicom Disk	fcdisk	
3DS	3ds	
New 3DS	new-3ds	
DS	ds	
DSi	dsi	
GameCube	gamecube	
Game Boy	gb	
Game Boy Advance	gba	
Game Boy Color	gbc	
Genesis	genesis	
Game Gear	gamegear	
Master System	mastersys	
Nintendo 64	n64	
Nintendo Entertainment System	nes	
PlayStation	ps1	
PlayStation 2	ps2	
PlayStation 3	ps3	
PlayStation 4	ps4	
PlayStation 5	ps5	
PlayStation Portable	psp	
PlayStation Vita	vita	
Saturn	saturn	
SG-1000	sg1000	
Super Nintendo Entertainment System	snes	
Switch	switch	
Virtual Boy	virtualboy	
Wii	wii	
Wii U	wii-u	
Xbox	xbox	
Xbox 360	xbox360	
Xbox One	xbone	
32X	32x	
64DD	64dd	
Sega Card	segacard	credit card-sized game cards (v2)
SG-1000 My Card	mycard	credit card-sized game cards (v1)
Gama Cartridge	gamacart	
Super Famicom	sfc	
