console	variation ref	color	name	colors	transparency	gloss	matte	design note	image_url
3ds	original		Doraemon	blue				w/ artwork	
3ds	original		Fire Emblem: Awakening	blue				w/ artwork	
3ds	original		Heroes of Ruin	black					
3ds	original		Monster Hunter 3G	white					
3ds	original		Monster Hunter 4	blue				w/ artwork	
3ds	original		SD Gundam G Generation 3D	red					
3ds	original	cosmo black	The Legend of Zelda 25th Anniversary	black					
3ds	original	aqua blue		blue					
3ds	original	cerulean blue		blue					
3ds	original	clear black		black					
3ds	original	cobalt blue		blue					
3ds	original	cosmo black		black					
3ds	original	flame red		red					
3ds	original	ice white		white					
3ds	original	metallic red		red					
3ds	original	midnight purple		purple					
3ds	original	pearl pink		pink					
3ds	original	pure white		white					
3ds	original	shimmer pink		pink					
3ds	xl	white	Animal Crossing	white					
3ds	xl		Charizard	black					
3ds	xl	silver & black	Culdcept	silver, black					
3ds	xl		Disney Magic Castle: My Happy Life	white, brown					
3ds	xl		Dragon Quest Monsters 2: Iru and Luca's Marvelous Mysterious Key	white, grey					
3ds	xl		Eevee	white, brown					
3ds	xl		Fire Emblem: Awakening	blue, black					
3ds	xl		Mario & Luigi: Dream Team	black, silver					
3ds	xl		Monster Hunter 4 Felyne White	white					
3ds	xl		Monster Hunter 4 Gore Magala Black	gold, black					
3ds	xl		Monster Hunter 4 Rajang Gold	gold					
3ds	xl		NES Edition	grey					
3ds	xl		New LovePlus+ Manaka Deluxe	white, blue					
3ds	xl		New LovePlus+ Nene Deluxe	white, red					
3ds	xl		New LovePlus+ Rinko Deluxe	white, green					
3ds	xl		One Piece: Unlimited World: Chopper Pink	pink					
3ds	xl		One Piece: Unlimited World: Luffy Red	red, black					
3ds	xl		Persona Q: Shadow of the Labyrinth	blue, black					
3ds	xl		Pikachu	yellow					
3ds	xl		Pokemon Battle Trozei	black					
3ds	xl		Pokemon Battle Trozei	white					
3ds	xl		Pokemon X & Y: Premium Gold	gold, black					
3ds	xl		Pokemon X & Y: Xerneas and Yveltal Blue	blue, black					
3ds	xl		Pokemon X & Y: Xerneas and Yveltal Red	red, black					
3ds	xl		Shin Megami Tensei IV	white, black					
3ds	xl	red & black	Super Mario Bros. 2	red, black					
3ds	xl		Super Robot Taisen UX	black					
3ds	xl		Super Smash Bros.	blue, black, grey					
3ds	xl		Super Smash Bros.	red, black, grey					
3ds	xl		The Legend of Zelda: A Link Between Worlds	gold, black					
3ds	xl		The Year of Luigi	white, off-white, green					
3ds	xl		Theatrhythm Final Fantasy: Curtain Call	black, gold					
3ds	xl		Tomodachi Collection	white, green					
3ds	xl		Yoshi	white, green					
3ds	xl		Youkai Watch	white					
3ds	xl	black		black					
3ds	xl	blue & black		blue, black					
3ds	xl	metallic blue		blue					
3ds	xl	mint & white		mint, white, green					
3ds	xl	orange & black		orange, black					
3ds	xl	pink		pink					
3ds	xl	pink & white		pink, white					
