console	name	desc	is_brand_missing	model_no	storage	alt names	description	notes	relevance
3ds	3DS	original	y					the original 3DS	10
3ds	3DS XL	xl	y					larger form factor 3DS	9
3ds	2DS	2ds	y					3DS game compatibility, no 3D functionality	9
new 3ds	New Nintendo 3DS LL	ll	n			New 3DS LL		suped up 3DS with exclusive library of games	9
new 3ds	New Nintendo 3DS XL	xl	n			New 3DS XL		larger form factor New 3DS	10
ds	DS	original	y					the original DS	10
ds	DS Lite	lite	y					lighter, brighter, smaller form factor DS	9
dsi	DSi	original	y					camera-enabled DS, no GBA slot	10
dsi	DSi XL	xl	y					larger form factor DSi	9
gamecube	Panasonic Q	pq	n					combination GameCube & DVD player	4
gamecube	TDEV	tdev	n					developers' GameCube console	1
gamecube	GameCube	original	y	DOL-001	n/a			the original GameCube	10
gamecube	GameCube	101	y	DOL-101	n/a			no Digital AV Out port	9
gb	Game Boy	original	y					the original Game Boy	10
gb	Game Boy Pocket	pocket	y					a smaller form factor Game Boy	9
gb	Game Boy Light	light	y					lighted screen	8
gba	Game Boy Advance	original	y			GBA		the original Game Boy Advance	10
gba	Game Boy Advance SP	sp	y			SP, GBA SP		a rechargable, backlit, foldable Game Boy Advance	10
gba	Game Boy Micro	micro	y					a rechargable, backlit, pocket-sized Game Boy Advance	6
gbc	Game Boy Color	original	y			GBC		the original Game Boy Color	10
genesis	Genesis	original	y					the original Genesis	10
genesis	Genesis	2	y	MK-1601				second iteration of the Genesis, different power supply	9
genesis	Genesis	3	y	MK-1631				smallest form factor Genesis, not compatible with 32X	8
gg	Game Gear	original	y					the original Game Gear	10
gg	Game Gear	repro	y					Majesco reproduction	7
mastersys	Master System	original	y					the original Master System	10
mastersys	Master System II	2	y					compact cost reduction model	9
n64	Nintendo 64	original	n					the original Nintendo 64	10
nes	Nintendo Entertainment System	original	n	NES-001				the original NES	10
nes	Nintendo Entertainment System	101	n	NES-101				smaller form factor, top-loading NES variant	9
ps	PlayStation	original	y					the original PlayStation	10
ps	PS One	one	y					compact redesign of original PlayStation	7
ps	Debugging Station PlayStation	debug	y					original PlayStation's debugger console	1
ps	PlayStation Net Yaroze	net	y					region-unlocked, custom-game-enabling variant	4
ps2	PlayStation 2	original	y			PS2		the original PS2	10
ps2	PlayStation 2 Slimline	slim	y			PS2 Slim		slim form factor redesign of PS2	10
ps2	PSX	original	y					PS2 with built-in digital video recorder, DVD burner	5
ps2	Sony BRAVIA KDL22PX300	bravia	y					TV with built-in PS2	1
ps3	PlayStation 3	original	y	CECHxxx	20GB-160GB			the original PS3	10
ps3	PlayStation 3 Slim	slim	y	CECH-2xxxx, CECH-3xxxx	120GB-320GB			slim form factor redesign of PS3	9
ps3	PlayStation 3 Super Slim	superslim	y	CECH-4xxxx	12GB-500GB			super slim redesign of PS3	8
ps4	PlayStation 4	original	y					the original PS4	10
ps4	PlayStation 4 Slim	slim	y		500GB-1TB			slim form factor redesign of PS4	9
ps4	PlayStation 4 Pro	pro	y		1TB-2TB			thick form factor, performance-enhanced PS4	9
